,name,email,address,profile
0,Xerox 198,"""Eldon Base for stackable storage shelf"," platinum""",Muhammed MacIntyre
1,Xerox 198,"""1.7 Cubic Foot Compact """"Cube"""" Office Refrigerators""",Barry French,"Xerox 198
"
2,Xerox 198,"""Cardinal Slant-D® Ring Binder"," Heavy Gauge Vinyl""",Barry French
3,Xerox 198,R380,Clay Rozendal,"Xerox 198
"
4,Xerox 198,Holmes HEPA Air Purifier,Carlos Soltero,"Xerox 198
"
5,Xerox 198,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,"Xerox 198
"
6,Xerox 198,"""Angle-D Binders with Locking Rings"," Label Holders""",Carl Jackson
7,Xerox 198,"""SAFCO Mobile Desk Side File"," Wire Frame""",Carl Jackson
8,Xerox 198,"""SAFCO Commercial Wire Shelving"," Black""",Monica Federle
9,Xerox 198,Xerox 198,Dorothy Badders,"Xerox 198
"
